PC_NAME,HOUR,x,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE
DSTI101917,22:06:57,60,22,5367,34
DSTI101917,22:07:01,22,13,5370,34
DSTI101917,22:07:05,33,11,5370,34
DSTI101917,22:07:09,21,8,5355,34
DSTI101917,22:07:13,23,11,5357,34
DSTI101917,22:07:17,20,14,5357,34
DSTI101917,22:07:21,15,11,5341,34
DSTI101917,22:07:25,21,16,5351,34
DSTI101917,22:07:29,20,7,5358,34
DSTI101917,22:07:33,31,21,5353,34
DSTI101917,22:07:37,35,11,5604,36
DSTI101917,22:07:41,45,8,5504,35
DSTI101917,22:07:45,33,16,5501,35
DSTI101917,22:07:49,11,17,5500,35
DSTI101917,22:07:53,22,26,5499,35
DSTI101917,22:07:57,14,16,5499,35
DSTI101917,22:08:01,14,13,5501,35
DSTI101917,22:08:05,28,11,5503,35
DSTI101917,22:08:09,22,11,5503,35
DSTI101917,22:08:13,17,10,5505,35
DSTI101917,22:08:17,15,17,5507,35
DSTI101917,22:08:21,21,13,5508,35
DSTI101917,22:08:25,22,19,5508,35
DSTI101917,22:08:29,14,19,5511,35
DSTI101917,22:08:33,19,19,5509,35
DSTI101917,22:08:37,21,11,5510,35
DSTI101917,22:08:41,24,13,5503,35
DSTI101917,22:08:45,27,16,5503,35
DSTI101917,22:08:49,13,7,5502,35
DSTI101917,22:08:53,24,30,5505,35
DSTI101917,22:08:57,24,11,5506,35
DSTI101917,22:09:01,25,11,5505,35
DSTI101917,22:09:05,13,11,5507,35
DSTI101917,22:09:09,20,13,5506,35
DSTI101917,22:09:13,23,13,5506,35
DSTI101917,22:09:17,27,16,5507,35
DSTI101917,22:09:21,11,11,5518,35
DSTI101917,22:09:25,19,11,5518,35
DSTI101917,22:09:29,16,13,5518,35
DSTI101917,22:09:33,20,8,5518,35
DSTI101917,22:09:37,21,14,5505,35
DSTI101917,22:09:41,89,16,5562,36
DSTI101917,22:09:46,23,21,5570,36
DSTI101917,22:09:50,30,30,5573,36
DSTI101917,22:09:54,51,64,5592,36
DSTI101917,22:09:58,30,27,5581,36
DSTI101917,22:10:02,26,31,5848,38
DSTI101917,22:10:06,20,33,5754,37
DSTI101917,22:10:10,39,33,5687,37
DSTI101917,22:10:14,21,28,5641,36
DSTI101917,22:13:57,12,11,5537,36
DSTI101917,22:14:01,21,14,5539,36
DSTI101917,22:14:05,21,22,5536,36
DSTI101917,22:14:09,26,11,5537,36
DSTI101917,22:14:13,24,14,5539,36
DSTI101917,22:14:17,23,8,5539,36
DSTI101917,22:14:21,23,24,5539,36
DSTI101917,22:14:25,28,30,5536,36
DSTI101917,22:14:29,26,16,5536,36
DSTI101917,22:14:33,27,16,5572,36
DSTI101917,22:14:37,12,19,5570,36
DSTI101917,22:14:41,26,16,5567,36
DSTI101917,22:14:45,20,8,5568,36
DSTI101917,22:14:49,25,25,5573,36
DSTI101917,22:14:53,33,36,5551,36
DSTI101917,22:14:57,25,24,5552,36
DSTI101917,22:15:01,29,13,5548,36
DSTI101917,22:15:05,25,29,5566,36
DSTI101917,22:15:09,21,22,5564,36
DSTI101917,22:15:13,54,28,5582,36
DSTI101917,22:15:17,22,16,5572,36
DSTI101917,22:15:21,31,26,5622,36
DSTI101917,22:15:25,20,18,5618,36
DSTI101917,22:15:29,40,26,5613,36
DSTI101917,22:15:33,60,16,5665,36
DSTI101917,22:15:38,19,38,5840,38
DSTI101917,22:15:42,25,24,5908,38
DSTI101917,22:15:46,22,11,5946,38
DSTI101917,22:15:50,27,21,5953,38
DSTI101917,22:15:54,39,61,6002,39
DSTI101917,22:15:58,24,20,5968,38
DSTI101917,22:16:02,21,10,5952,38
DSTI101917,22:16:06,19,29,5955,38
DSTI101917,22:16:10,25,11,5956,38
DSTI101917,22:16:14,83,17,5919,38
DSTI101917,22:16:18,26,15,6035,39
DSTI101917,22:16:22,21,13,6031,39
DSTI101917,22:16:26,24,16,6035,39
DSTI101917,22:16:30,38,13,6047,39
DSTI101917,22:16:34,24,8,6051,39
DSTI101917,22:16:38,36,9,6061,39
DSTI101917,22:16:42,17,5,6061,39
DSTI101917,22:16:46,71,17,6068,39
DSTI101917,22:16:50,25,17,6134,39
DSTI101917,22:16:54,23,16,6138,39
DSTI101917,22:16:58,65,25,6140,39
DSTI101917,22:17:02,54,70,6224,40
DSTI101917,22:17:06,93,59,6024,39
DSTI101917,22:17:11,19,28,6033,39
DSTI101917,22:17:15,21,11,6042,39
DSTI101917,22:17:19,17,13,6045,39
DSTI101917,22:17:23,29,28,6040,39
DSTI101917,22:17:27,23,10,6042,39
DSTI101917,22:17:31,35,15,6037,39
DSTI101917,22:17:35,21,7,6042,39
DSTI101917,22:17:39,25,16,6049,39
DSTI101917,22:17:43,39,33,6061,39
DSTI101917,22:17:47,48,27,6066,39
DSTI101917,22:17:51,19,24,6070,39
DSTI101917,22:17:55,34,27,6052,39
DSTI101917,22:17:59,15,24,6058,39
DSTI101917,22:18:03,22,30,6060,39
DSTI101917,22:18:07,79,36,6065,39
DSTI101917,22:18:11,18,8,6058,39
DSTI101917,22:18:15,16,10,6058,39
DSTI101917,22:18:19,20,10,6055,39
DSTI101917,22:18:23,23,47,6057,39
DSTI101917,22:18:27,20,14,6063,39
DSTI101917,22:18:31,23,24,6042,39
DSTI101917,22:18:35,24,14,6045,39
DSTI101917,22:18:39,29,15,6045,39
DSTI101917,22:18:43,23,8,6045,39
DSTI101917,22:18:47,18,8,6046,39
DSTI101917,22:18:51,17,14,6046,39
DSTI101917,22:18:55,16,9,6044,39
DSTI101917,22:18:59,21,11,6042,39
DSTI101917,22:19:03,27,7,6041,39
DSTI101917,22:19:07,13,11,6040,39
DSTI101917,22:19:11,19,19,6039,39
DSTI101917,22:19:15,16,10,6040,39
DSTI101917,22:19:19,15,11,6040,39
DSTI101917,22:19:23,27,19,6039,39
DSTI101917,22:19:27,27,30,6043,39
DSTI101917,22:19:31,27,11,6043,39
DSTI101917,22:19:35,20,10,6043,39
DSTI101917,22:19:39,17,13,6042,39
DSTI101917,22:19:43,24,21,6043,39
DSTI101917,22:19:47,24,10,6043,39
DSTI101917,22:19:51,23,6,6043,39
DSTI101917,22:19:55,15,10,6044,39
DSTI101917,22:19:59,25,8,6043,39
DSTI101917,22:20:03,21,5,6044,39
DSTI101917,22:20:07,15,8,6043,39
DSTI101917,22:20:11,21,16,6043,39
DSTI101917,22:20:15,15,8,6044,39
DSTI101917,22:20:19,23,8,6037,39
DSTI101917,22:20:23,28,19,6036,39
DSTI101917,22:20:27,22,16,6040,39
DSTI101917,22:20:31,37,24,6053,39
DSTI101917,22:20:35,11,14,6052,39
DSTI101917,22:20:39,17,13,6050,39
DSTI101917,22:20:43,14,13,6053,39
DSTI101917,22:20:47,28,16,6052,39
DSTI101917,22:20:51,12,22,6051,39
DSTI101917,22:20:55,20,31,6096,39
DSTI101917,22:20:59,19,21,6081,39
DSTI101917,22:21:03,21,13,6081,39
DSTI101917,22:21:07,21,27,6081,39
DSTI101917,22:21:11,15,15,6039,39
DSTI101917,22:21:15,21,22,6039,39
DSTI101917,22:21:19,17,14,6039,39
DSTI101917,22:21:23,12,27,6040,39
DSTI101917,22:21:27,18,13,6039,39
DSTI101917,22:21:31,18,10,6039,39
DSTI101917,22:21:35,19,22,6041,39
DSTI101917,22:21:39,12,16,6040,39
DSTI101917,22:21:43,14,10,6041,39
DSTI101917,22:21:47,17,16,6041,39
DSTI101917,22:21:51,17,25,6041,39
DSTI101917,22:21:55,16,17,6041,39
DSTI101917,22:21:59,20,16,6039,39
DSTI101917,22:22:03,17,22,6038,39
DSTI101917,22:22:07,12,4,6040,39
DSTI101917,22:22:11,15,16,6040,39
DSTI101917,22:22:15,23,11,6041,39
DSTI101917,22:22:19,19,14,6040,39
DSTI101917,22:22:23,22,19,6039,39
DSTI101917,22:22:27,23,16,6039,39
DSTI101917,22:22:31,18,8,5919,38
DSTI101917,22:22:35,07,24,5922,38
DSTI101917,22:22:39,25,10,5924,38
DSTI101917,22:22:43,13,11,5930,38
DSTI101917,22:22:47,28,15,5938,38
DSTI101917,22:22:51,25,19,5942,38
DSTI101917,22:22:55,19,16,5940,38
DSTI101917,22:22:59,17,9,5941,38
DSTI101917,22:23:03,31,16,5944,38
DSTI101917,22:23:07,17,14,5942,38
DSTI101917,22:23:11,20,27,5953,38
DSTI101917,22:23:15,10,21,5953,38
DSTI101917,22:23:19,10,11,5953,38
DSTI101917,22:23:23,27,22,5951,38
DSTI101917,22:23:27,15,11,5954,38
DSTI101917,22:23:31,17,13,5954,38
DSTI101917,22:23:35,20,11,5954,38
DSTI101917,22:23:39,17,15,5954,38
DSTI101917,22:23:43,13,13,5954,38
DSTI101917,22:23:47,12,11,5954,38
DSTI101917,22:23:51,25,8,5953,38
DSTI101917,22:23:55,21,8,5934,38
DSTI101917,22:23:59,16,13,5934,38
DSTI101917,22:24:03,17,8,5934,38
DSTI101917,22:24:07,36,10,5932,38
DSTI101917,22:24:11,11,17,5933,38
DSTI101917,22:24:15,23,22,5936,38
DSTI101917,22:24:19,24,20,5942,38
DSTI101917,22:24:23,47,30,5953,38
DSTI101917,22:24:27,11,21,5952,38
DSTI101917,22:24:31,15,10,5952,38
DSTI101917,22:24:35,27,11,5953,38
DSTI101917,22:24:39,17,12,5951,38
DSTI101917,22:24:43,72,14,5952,38
DSTI101917,22:24:47,09,16,5950,38
